Name,FITS,HIcont,HIcont_p,Voxels,Image size,RMS,High/No,High/Yes,Tri2,Tri3,Tri5,Levels,Split,T_RAM,P_RAM
HCG90,1101.569,422776.0,0.1464311443613189,288720000.0,3.2936571647938755,0.0002829296572599,138.631,highyes,19.423,5.764,1.255,3.0,1.0,2791.7978515625,1612.41015625
HCG97,499.853,351780.0,0.2685343511450382,131000000.0,2.7710286381793945,0.0003443894092924,97.219,highyes,15.351,4.818,1.12,3.0,1.0,2382.0166015625,1456.15234375
HCG30,5413.62,2110046.0,0.1486869327470545,1419120000.0,1.000606395298031,0.0003013038949575,626.815,highyes,NaN,NaN,NaN,3.0,4.0,NaN,NaN
HCG31,2624.68,1012686.0,0.1471927325581395,688000000.0,2.783393573824208,0.0002708119573071,349.463,highyes,47.969,14.269,2.975,3.0,2.0,4695.4375,2390.6640625
HCG16,300.591,156266.0,0.1983763369196103,78772500.0,4.059415547456583,0.0003630681021604,41.311,highyes,6.033,1.876,0.414,3.0,1.0,1467.931640625,916.71484375
HCG2,15.76,27823.0,0.6738814096602183,4128768.0,0.3243872094155487,0.0008411325397901,4.013,highyes,0.33,0.155,0.067,3.0,1.0,1134.0517578125,834.9609375
H07,55.006,47693.0,0.3307897394353693,14417920.0,0.5037330248623176,0.0002998409618157,12.365,highyes,2.217,0.784,0.12,3.0,1.0,1222.4658203125,817.62890625
HCG10,54.006,29893.0,0.2111717506691261,14155776.0,0.8778635578057811,0.0004178015806246,3.997,highyes,0.641,0.247,0.074,3.0,1.0,1102.125,809.27734375
HCG15,55.006,17262.0,0.1197260076349431,14417920.0,0.725673217343874,0.0004712902300525,4.279,highyes,0.655,0.235,0.064,3.0,1.0,1126.35546875,826.0234375
HCG16,63.007,57005.0,0.3451695517888145,16515072.0,0.3278038191305089,0.0003997331077698,7.732,highyes,1.215,0.423,0.131,3.0,1.0,1186.08203125,815.9765625
H19,63.007,110654.0,0.6700182717943948,16515072.0,0.5164810787737611,0.0006052558310329,22.095,highyes,3.326,1.089,0.367,3.0,1.0,1633.345703125,1267.359375
HCG22_0_0_0_0_0,279.006,51350.0,0.0702095715375784,73138176.0,6.840398358853097,0.0006120999460108,11.218,highyes,1.87,0.617,0.127,3.0,1.0,1202.79296875,858.0078125
HCG23,108.572,171113.0,0.6012572384325631,28459200.0,0.4168947282864851,0.0006175017915666,28.776,highyes,4.715,1.809,0.52,3.0,1.0,1578.1875,1115.1015625
HCG25,54.006,26353.0,0.1861642908166956,14155776.0,0.7255910583393707,0.0004677305696532,4.728,highyes,0.709,0.276,0.074,3.0,1.0,1132.3759765625,801.80078125
