Name,FITS,HIcont,HIcont_p,Voxels,Image_size,RMS,High/No,High/Yes,Tri2,Tri3,Tri5,Levels,Split,T_RAM,P_RAM
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,NaN,NaN
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,NaN,NaN
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,NaN,NaN
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,NaN,NaN
,0.0,0.0,,0.0,0.0,0.0,0.0,highyes,0.0,0.0,0.0,0.0,0.0,NaN,NaN
HCG2,15.76,32747.0,0.7931421673487103,4128768.0,0.3243872094155487,0.0008411325397901,4.976,highyes,0.48,0.213,0.086,0.0,1.0,499.0205078125,157.078125
H07,55.006,81143.0,0.5627926913174716,14417920.0,0.5037330248623176,0.0002998409618157,22.013,highyes,3.677,1.235,0.201,0.0,1.0,684.5126953125,311.375
HCG10,54.006,50765.0,0.358616864239728,14155776.0,0.8778635578057811,0.0004178015806246,8.841,highyes,1.415,0.489,0.131,0.0,1.0,526.146484375,182.1171875
HCG15,55.006,42236.0,0.292941006747159,14417920.0,0.725673217343874,0.0004712902300525,10.431,highyes,1.571,0.526,0.128,0.0,1.0,548.98828125,200.87890625
HCG16,63.007,90846.0,0.550079345703125,16515072.0,0.3278038191305089,0.0003997331077698,15.616,highyes,2.313,0.774,0.218,0.0,1.0,613.666015625,248.91015625
H19,63.007,139772.0,0.8463299463665674,16515072.0,0.5164810787737611,0.0006052558310329,27.83,highyes,4.266,1.37,0.422,0.0,1.0,721.8056640625,340.59765625
HCG22_0_0_0_0_0,279.006,99453.0,0.1359796011319724,73138176.0,6.840398358853097,0.0006120999460108,21.854,highyes,3.573,1.223,0.248,0.0,1.0,680.37109375,309.421875
HCG23,108.572,267475.0,0.9398542474841176,28459200.0,0.4168947282864851,0.0006175017915666,43.578,highyes,7.197,2.761,0.788,0.0,1.0,863.2060546875,449.51953125
