Name,FITS,HIcont,HIcont_p,Voxels,Image size,High/No,High/Yes,Tri2,Tri3,Tri5,Levels,T_RAM,P_RAM
HCG16,534.309,250924.0,0.1791802342187946,140040000.0,4.063937755113679,99.985,543.697,15.831,5.216,1.322,10.0,2323.1513671875,1662.19140625
HCG30,601.611,247233.0,0.1567941400304414,157680000.0,3.996015175233377,100.237,543.949,15.512,4.985,1.21,10.0,2291.9619140625,1638.109375
HCG31,944.992,367289.0,0.1482917474160207,247680000.0,4.003915185029482,149.018,592.792,22.326,7.005,1.627,10.0,2989.322265625,2268.28515625
HCG90,1102.945,424468.0,0.1468340943683409,289080000.0,4.751796235010528,178.304,178.304,26.237,8.089,1.81,10.0,3190.572265625,2430.87109375
HCG91,1656.475,658298.0,0.1516256679565137,434160000.0,4.548493108220338,282.64,726.352,41.599,13.069,2.845,10.0,4443.2529296875,3495.765625
HCG97,719.734,475374.0,0.2520006361323155,188640000.0,3.993724421590847,258.467,702.24,35.891,11.666,2.167,10.0,3978.30078125,3058.48046875
